Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-20,20:35:00,5.76,5.76,5.75,5.755,700,0
2016-06-20,20:40:00,5.76,5.7637,5.76,5.76,1500,0
2016-06-20,20:45:00,5.76,5.76,5.73,5.7301,12377,0
2016-06-20,20:50:00,5.735,5.755,5.735,5.755,3300,0
2016-06-20,20:55:00,5.755,5.76,5.75,5.76,2000,0
2016-06-20,21:00:00,5.76,5.77,5.755,5.77,3720,0
2016-06-20,21:05:00,5.77,5.77,5.76,5.76,400,0
2016-06-20,21:10:00,5.765,5.77,5.75,5.76,5700,0
2016-06-20,21:15:00,5.76,5.76,5.755,5.755,2100,0
2016-06-20,21:20:00,5.755,5.755,5.72,5.72,11324,0
2016-06-20,21:25:00,5.72,5.74,5.72,5.72,6931,0
2016-06-20,21:30:00,5.72,5.72,5.69,5.695,7628,0
2016-06-20,21:35:00,5.7,5.7,5.69,5.695,1600,0
2016-06-20,21:40:00,5.695,5.7,5.69,5.7,7874,0
2016-06-20,21:45:00,5.7,5.71,5.69,5.71,18372,0
2016-06-20,21:50:00,5.71,5.71,5.69,5.69,16896,0
2016-06-20,21:55:00,5.7,5.71,5.69,5.69,16955,0
2016-06-20,22:00:00,5.695,5.72,5.69,5.72,80557,0
2016-06-21,15:35:00,5.74,5.7857,5.66,5.6795,9319,0
2016-06-21,15:40:00,5.66,5.66,5.62,5.65,12699,0
2016-06-21,15:45:00,5.64,5.64,5.57,5.6116,9400,0
2016-06-21,15:50:00,5.62,5.62,5.57,5.61,7000,0
2016-06-21,15:55:00,5.63,5.64,5.5695,5.58,8766,0
2016-06-21,16:00:00,5.58,5.58,5.56,5.57,11400,0
2016-06-21,16:05:00,5.5799,5.5799,5.52,5.54,25047,0
2016-06-21,16:10:00,5.54,5.56,5.5399,5.54,5900,0
2016-06-21,16:15:00,5.54,5.59,5.54,5.59,4113,0
2016-06-21,16:20:00,5.58,5.5859,5.52,5.54,6435,0
2016-06-21,16:25:00,5.53,5.53,5.47,5.49,20390,0
2016-06-21,16:30:00,5.485,5.56,5.485,5.56,19160,0
2016-06-21,16:35:00,5.555,5.58,5.545,5.565,9916,0
2016-06-21,16:40:00,5.57,5.57,5.56,5.56,7081,0
2016-06-21,16:45:00,5.56,5.56,5.55,5.56,4300,0
2016-06-21,16:50:00,5.5572,5.5601,5.55,5.55,3522,0
2016-06-21,16:55:00,5.54,5.59,5.53,5.59,9200,0
2016-06-21,17:00:00,5.58,5.6,5.58,5.58,15008,0
2016-06-21,17:05:00,5.57,5.59,5.56,5.59,3400,0
2016-06-21,17:10:00,5.6,5.61,5.58,5.58,3824,0
2016-06-21,17:15:00,5.575,5.58,5.56,5.58,4552,0
2016-06-21,17:20:00,5.58,5.59,5.58,5.58,7503,0
2016-06-21,17:25:00,5.58,5.58,5.55,5.55,1600,0
2016-06-21,17:30:00,5.54,5.56,5.535,5.54,8400,0
2016-06-21,17:35:00,5.53,5.53,5.51,5.52,10950,0
2016-06-21,17:40:00,5.52,5.52,5.5,5.52,9671,0
2016-06-21,17:45:00,5.52,5.56,5.52,5.55,8340,0
2016-06-21,17:50:00,5.55,5.56,5.54,5.56,3700,0
2016-06-21,17:55:00,5.56,5.56,5.53,5.54,2421,0
2016-06-21,18:00:00,5.535,5.56,5.53,5.555,3200,0
2016-06-21,18:05:00,5.56,5.58,5.56,5.57,4200,0
2016-06-21,18:10:00,5.5605,5.5605,5.535,5.54,4163,0
2016-06-21,18:15:00,5.55,5.55,5.55,5.55,400,0
2016-06-21,18:20:00,5.55,5.55,5.543,5.55,1100,0
2016-06-21,18:25:00,5.54,5.57,5.54,5.57,4700,0
2016-06-21,18:30:00,5.56,5.57,5.56,5.57,4164,0
2016-06-21,18:35:00,5.57,5.58,5.5699,5.57,2900,0
2016-06-21,18:40:00,5.57,5.57,5.565,5.5699,2000,0
2016-06-21,18:45:00,5.58,5.58,5.575,5.575,400,0
2016-06-21,18:50:00,5.5761,5.58,5.57,5.57,2920,0
2016-06-21,18:55:00,5.57,5.58,5.5525,5.58,7600,0
2016-06-21,19:00:00,5.57,5.58,5.57,5.58,1171,0
2016-06-21,19:05:00,5.58,5.62,5.58,5.62,22133,0
2016-06-21,19:10:00,5.62,5.63,5.6136,5.62,6471,0
2016-06-21,19:15:00,5.61,5.61,5.6,5.6,700,0
2016-06-21,19:20:00,5.6,5.605,5.6,5.605,1300,0
2016-06-21,19:25:00,5.6,5.6,5.58,5.58,1200,0
2016-06-21,19:30:00,5.58,5.61,5.5736,5.6,11452,0
2016-06-21,19:35:00,5.6,5.6,5.59,5.59,1200,0
2016-06-21,19:40:00,5.59,5.59,5.555,5.56,8200,0
2016-06-21,19:45:00,5.57,5.58,5.56,5.58,3640,0
2016-06-21,19:50:00,5.57,5.57,5.565,5.57,1200,0
2016-06-21,19:55:00,5.56,5.56,5.56,5.56,800,0
2016-06-21,20:00:00,5.56,5.57,5.55,5.5667,4200,0
2016-06-21,20:05:00,5.56,5.56,5.55,5.55,900,0
2016-06-21,20:10:00,5.55,5.56,5.55,5.56,2266,0
2016-06-21,20:15:00,5.57,5.57,5.56,5.56,300,0
2016-06-21,20:20:00,5.57,5.57,5.56,5.56,1600,0
2016-06-21,20:25:00,5.555,5.57,5.555,5.57,3400,0
2016-06-21,20:30:00,5.56,5.57,5.56,5.57,6288,0
2016-06-21,20:35:00,5.57,5.58,5.565,5.58,4000,0
2016-06-21,20:40:00,5.59,5.62,5.59,5.61,4091,0
2016-06-21,20:45:00,5.6,5.6,5.59,5.59,1100,0
2016-06-21,20:50:00,5.585,5.61,5.58,5.61,4600,0
2016-06-21,20:55:00,5.61,5.62,5.6099,5.61,3760,0
2016-06-21,21:00:00,5.61,5.61,5.605,5.605,1100,0
2016-06-21,21:05:00,5.61,5.61,5.6,5.61,2700,0
2016-06-21,21:10:00,5.605,5.605,5.585,5.59,2669,0
2016-06-21,21:15:00,5.595,5.61,5.59,5.61,1800,0
2016-06-21,21:20:00,5.61,5.625,5.61,5.62,4275,0
2016-06-21,21:25:00,5.62,5.62,5.6068,5.62,5750,0
2016-06-21,21:30:00,5.6165,5.64,5.6116,5.64,6527,0
2016-06-21,21:35:00,5.64,5.66,5.64,5.65,2843,0
2016-06-21,21:40:00,5.64,5.66,5.64,5.66,6204,0
2016-06-21,21:45:00,5.65,5.655,5.64,5.65,7662,0
2016-06-21,21:50:00,5.65,5.66,5.65,5.6501,5430,0
2016-06-21,21:55:00,5.65,5.66,5.64,5.64,10598,0
2016-06-21,22:00:00,5.64,5.65,5.63,5.64,92318,0
2016-06-22,15:35:00,5.64,5.65,5.61,5.61,6020,0
2016-06-22,15:40:00,5.58,5.58,5.53,5.55,10819,0
2016-06-22,15:45:00,5.55,5.55,5.53,5.54,900,0
2016-06-22,15:50:00,5.53,5.56,5.51,5.52,12876,0
2016-06-22,15:55:00,5.52,5.53,5.5099,5.51,6013,0
2016-06-22,16:00:00,5.52,5.52,5.49,5.49,20296,0
2016-06-22,16:05:00,5.49,5.53,5.49,5.51,4300,0
2016-06-22,16:10:00,5.49,5.51,5.48,5.505,13791,0
2016-06-22,16:15:00,5.51,5.54,5.51,5.5399,3174,0
2016-06-22,16:20:00,5.53,5.53,5.49,5.51,9700,0
2016-06-22,16:25:00,5.51,5.51,5.51,5.51,1892,0
2016-06-22,16:30:00,5.51,5.54,5.5,5.5299,12478,0
2016-06-22,16:35:00,5.51,5.79,5.51,5.79,29801,0
2016-06-22,16:40:00,5.79,5.85,5.71,5.73,12805,0
2016-06-22,16:45:00,5.74,5.81,5.71,5.8,7633,0
2016-06-22,16:50:00,5.8,5.87,5.775,5.87,11500,0
2016-06-22,16:55:00,5.88,5.91,5.8601,5.8601,10150,0
2016-06-22,17:00:00,5.86,5.86,5.82,5.82,6200,0
2016-06-22,17:05:00,5.82,5.86,5.82,5.85,4000,0
2016-06-22,17:10:00,5.845,5.845,5.81,5.84,20405,0
2016-06-22,17:15:00,5.85,5.86,5.83,5.83,2500,0
2016-06-22,17:20:00,5.81,5.85,5.81,5.85,3000,0
2016-06-22,17:25:00,5.85,5.85,5.81,5.81,1400,0
2016-06-22,17:30:00,5.805,5.815,5.8,5.815,4000,0
2016-06-22,17:35:00,5.81,5.81,5.76,5.765,13150,0
2016-06-22,17:40:00,5.77,5.785,5.751,5.76,27493,0
2016-06-22,17:45:00,5.76,5.76,5.72,5.75,2000,0
2016-06-22,17:50:00,5.75,5.75,5.72,5.72,400,0
2016-06-22,17:55:00,5.72,5.73,5.72,5.73,1200,0
2016-06-22,18:00:00,5.73,5.7499,5.73,5.73,4600,0
2016-06-22,18:05:00,5.735,5.735,5.7,5.7,2595,0
2016-06-22,18:10:00,5.7,5.7001,5.7,5.7,7000,0
2016-06-22,18:15:00,5.7,5.71,5.7,5.71,1200,0
2016-06-22,18:20:00,5.71,5.71,5.69,5.69,300,0
2016-06-22,18:25:00,5.7,5.71,5.66,5.66,1710,0
2016-06-22,18:30:00,5.6599,5.69,5.65,5.68,8402,0
2016-06-22,18:35:00,5.67,5.68,5.66,5.68,2900,0
2016-06-22,18:40:00,5.68,5.68,5.66,5.66,4399,0
2016-06-22,18:45:00,5.6482,5.6482,5.61,5.61,2200,0
2016-06-22,18:50:00,5.61,5.62,5.6089,5.62,3500,0
2016-06-22,18:55:00,5.62,5.63,5.62,5.6299,1900,0
2016-06-22,19:00:00,5.62,5.65,5.62,5.65,5535,0
2016-06-22,19:05:00,5.64,5.64,5.6185,5.64,3500,0
2016-06-22,19:10:00,5.64,5.64,5.61,5.62,5400,0
2016-06-22,19:15:00,5.61,5.62,5.6,5.62,2015,0
2016-06-22,19:20:00,5.64,5.65,5.61,5.61,1571,0
2016-06-22,19:25:00,5.61,5.63,5.61,5.61,2000,0
2016-06-22,19:30:00,5.61,5.6397,5.6,5.63,7207,0
2016-06-22,19:35:00,5.62,5.63,5.62,5.63,1300,0
2016-06-22,19:40:00,5.63,5.64,5.62,5.64,6000,0
2016-06-22,19:45:00,5.65,5.65,5.64,5.64,1100,0
2016-06-22,19:50:00,5.65,5.67,5.64,5.67,2800,0
2016-06-22,19:55:00,5.66,5.68,5.66,5.67,2500,0
2016-06-22,20:00:00,5.67,5.68,5.655,5.665,3400,0
2016-06-22,20:05:00,5.66,5.66,5.65,5.66,1300,0
2016-06-22,20:10:00,5.66,5.6601,5.655,5.66,7820,0
2016-06-22,20:15:00,5.66,5.66,5.64,5.64,1888,0
2016-06-22,20:20:00,5.65,5.65,5.65,5.65,2475,0
2016-06-22,20:25:00,5.65,5.65,5.63,5.64,1200,0
2016-06-22,20:30:00,5.63,5.64,5.63,5.64,600,0
2016-06-22,20:35:00,5.64,5.64,5.63,5.6399,5600,0
2016-06-22,20:40:00,5.63,5.635,5.63,5.63,4300,0
2016-06-22,20:45:00,5.63,5.65,5.63,5.64,1400,0
2016-06-22,20:50:00,5.645,5.65,5.63,5.64,1900,0
2016-06-22,20:55:00,5.64,5.64,5.63,5.63,1100,0
2016-06-22,21:00:00,5.64,5.65,5.64,5.64,4400,0
2016-06-22,21:05:00,5.65,5.67,5.64,5.66,10464,0
2016-06-22,21:10:00,5.67,5.67,5.67,5.67,1787,0
2016-06-22,21:15:00,5.6693,5.6693,5.65,5.65,2627,0
2016-06-22,21:20:00,5.65,5.65,5.64,5.65,1700,0
2016-06-22,21:25:00,5.6416,5.6416,5.62,5.62,5500,0
2016-06-22,21:30:00,5.63,5.64,5.63,5.631,3550,0
2016-06-22,21:35:00,5.63,5.6316,5.625,5.63,2800,0
2016-06-22,21:40:00,5.625,5.63,5.62,5.63,4400,0
2016-06-22,21:45:00,5.63,5.64,5.63,5.64,5663,0
2016-06-22,21:50:00,5.64,5.65,5.6216,5.6216,12486,0
2016-06-22,21:55:00,5.63,5.635,5.62,5.62,13027,0
2016-06-22,22:00:00,5.62,5.64,5.62,5.63,31987,0
2016-06-23,15:35:00,5.73,5.76,5.67,5.75,14009,0
2016-06-23,15:40:00,5.74,5.74,5.7,5.74,6818,0
2016-06-23,15:45:00,5.71,5.71,5.66,5.69,1702,0
2016-06-23,15:50:00,5.69,5.73,5.68,5.72,5998,0
2016-06-23,15:55:00,5.72,5.75,5.71,5.71,4787,0
2016-06-23,16:00:00,5.71,5.76,5.71,5.76,5762,0
2016-06-23,16:05:00,5.77,5.82,5.7685,5.82,20285,0
2016-06-23,16:10:00,5.8115,5.83,5.8,5.82,3200,0
2016-06-23,16:15:00,5.8,5.81,5.75,5.77,29748,0
2016-06-23,16:20:00,5.7699,5.78,5.75,5.78,4248,0
2016-06-23,16:25:00,5.77,5.78,5.76,5.77,4325,0
2016-06-23,16:30:00,5.76,5.77,5.76,5.76,5810,0
2016-06-23,16:35:00,5.75,5.75,5.72,5.72,5000,0
2016-06-23,16:40:00,5.72,5.72,5.7,5.7061,1200,0
2016-06-23,16:45:00,5.71,5.71,5.7,5.705,600,0
2016-06-23,16:50:00,5.7,5.7,5.68,5.68,1700,0
2016-06-23,16:55:00,5.68,5.71,5.68,5.71,7732,0
